ID,Name,eventLayerId,mapStudioLayerId,gparamId,overrideGparamId,pointCloudId,giTextureId,bakeToolLightId,isReload,pad1,playRegionOffset,pad2,
1000,For automatic patrol: normal -- 自動巡回用:通常,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
1001,For automatic patrol: Ritual A -- 自動巡回用:儀式A,0,1,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
1002,For automatic patrol: Ritual B -- 自動巡回用:儀式B,0,2,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
1003,For automatic patrol: Ritual C -- 自動巡回用:儀式C,0,3,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
1004,For automatic patrol: Ritual D -- 自動巡回用:儀式D,0,4,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
1005,For automatic patrol: Ritual E -- 自動巡回用:儀式E,0,5,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
11000000,Castle: Default -- 城下：デフォルト,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
11000020,Castle: Invasion of Tokugawa -- 城下：徳川襲来,0,0,20,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
11010000,Honjo: Default -- 本城：デフォルト,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
11010010,Honjo: Arashi -- 本城：嵐,0,0,10,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
11010020,Honjo: Invasion of Tokugawa -- 本城：徳川襲来,0,0,20,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
11020000,Hidden Prison: Default -- 隠し牢：デフォルト,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
11020020,Hidden prison: Tokugawa invasion -- 隠し牢：徳川襲来,0,0,20,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
15000000,Sick Village: Default -- 病み村：デフォルト,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
15000010,Sick Village: During illusion -- 病み村：幻術中,0,0,10,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
25000000,Submerged City: Default -- 水没都：デフォルト,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
25000010,Submerged city: dense fog -- 水没都：濃霧,0,0,10,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
30000000,Eclipse Royal Castle_1: Default -- 蝕の王城_1：デフォルト,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
30000010,The Royal Castle of Eclipse_1: The World of Eclipse -- 蝕の王城_1：蝕世界,0,10,10,0,1,1,1,0,0,0,[0|0|0|0|0|0|0|0|0|0]
30001000,Eclipse King _1: Product version -- 蝕の王城_1：製品版,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
30001010,Royal Castle of Eclipse_1: NT -- 蝕の王城_1：NT,9,11,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
30001011,Eclipse Royal Castle_1: TGS -- 蝕の王城_1：TGS,9,12,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
30001012,Eclipse King _1: E3 Light Test -- 蝕の王城_1：E3ライトテスト,9,11,0,0,2,2,2,0,0,0,[0|0|0|0|0|0|0|0|0|0]
30001015,Eclipse royal castle_1: royal castle 2 distant view test -- 蝕の王城_1：王城2遠景テスト,0,15,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
30001020,Eclipse King _1: Gparam Or test -- 蝕の王城_1：GparamOrテスト,0,10,0,600,0,0,6,0,0,0,[0|0|0|0|0|0|0|0|0|0]
30010000,Eclipse Royal Castle_2: Default -- 蝕の王城_2：デフォルト,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
30010010,The Royal Castle of Eclipse_2: The World of Eclipse -- 蝕の王城_2：蝕世界,0,10,10,0,0,0,1,0,0,0,[0|0|0|0|0|0|0|0|0|0]
31000000,Evil Eye City: Default -- 邪眼の街：デフォルト,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
31000010,Evil Eye City: The World of Corrosion -- 邪眼の街：蝕世界,0,10,10,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
31000020,City of Evil Eyes: Default (Oujou 1) -- 邪眼の街：デフォルト(王城1),0,0,20,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
31000030,Evil Eye City: The World of Evil Eye (Oujou 1) -- 邪眼の街：蝕世界(王城1),0,10,30,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
31001000,City of Evil Eyes: Pseudo NPC Multi 1 -- 邪眼の街：疑似NPCマルチ1,2,12,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0]
