ID,Name,host,invadeOrb_None,invadeOrb_Umbasa,invadeOrb_Berserker,invadeOrb_Sinners,invadeSign_None,invadeSign_Umbasa,invadeSign_Berserker,invadeSign_Sinners,invadeRing_Sinners,invadeRing_Rosalia,invadeRing_Forest,coopSign_None,coopSign_Umbasa,coopSign_Berserker,coopSign_Sinners,coopRing_RedHunter,invadeRing_Anor,pad1,
0,host -- ホスト,0,2,2,2,2,0,0,0,0,2,1,1,0,0,0,0,0,1,[0|0|0|0|0|0]
1,Cooperation route client -- 協力経路のクライアント,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,[0|0|0|0|0|0]
2,Intrusion route client -- 侵入経路のクライアント,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,[0|0|0|0|0|0]
900,Enemy test -- エネミーテスト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0]
1001,MP Est Bottle +1 -- MPエスト瓶＋１,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,[0|0|0|0|0|0]
1002,MP Est Bottle +2 -- MPエスト瓶＋２,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,[0|0|0|0|0|0]
1003,MP Est Bottle +3 -- MPエスト瓶＋３,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,[0|0|0|0|0|0]
1004,MP Est Bottle +4 -- MPエスト瓶＋４,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,[0|0|0|0|0|0]
1005,MP Est Bottle +5 -- MPエスト瓶＋５,5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,[0|0|0|0|0|0]
1006,MP Est Bottle +6 -- MPエスト瓶＋６,6,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,[0|0|0|0|0|0]
1007,MP Est Bottle +7 -- MPエスト瓶＋７,7,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,[0|0|0|0|0|0]
1008,MP Est Bottle +8 -- MPエスト瓶＋８,8,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,[0|0|0|0|0|0]
1009,MP Est Bottle +9 -- MPエスト瓶＋９,9,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,[0|0|0|0|0|0]
1010,MP Est Bottle +10 -- MPエスト瓶＋１０,10,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,[0|0|0|0|0|0]
1011,MP Est Bottle +11 -- MPエスト瓶＋１１,11,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,[0|0|0|0|0|0]
1012,MP Est Bottle +12 -- MPエスト瓶＋１２,12,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,[0|0|0|0|0|0]
1013,MP Est Bottle +13 -- MPエスト瓶＋１３,13,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,[0|0|0|0|0|0]
1014,MP Est Bottle +14 -- MPエスト瓶＋１４,14,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,[0|0|0|0|0|0]
1015,MP Est Bottle +15 -- MPエスト瓶＋１５,15,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,4,0,[0|0|0|0|0|0]
