ID,Name,neckTurnGain,originalGroundHeightMS,minAnkleHeightMS,maxAnkleHeightMS,cosineMaxKneeAngle,cosineMinKneeAngle,footPlantedAnkleHeightMS,footRaisedAnkleHeightMS,raycastDistanceUp,raycastDistanceDown,footEndLS_X,footEndLS_Y,footEndLS_Z,onOffGain,groundAscendingGain,groundDescendingGain,footRaisedGain,footPlantedGain,footUnlockGain,kneeAxisType,useFootLocking,footPlacementOn,twistKneeAxisType,neckTurnPriority,neckTurnMaxAngle,pad1,
0,Doesn&#39;t work -- 動かない,1,10000,10000,10000,100,100,100,100,10000,10000,10000,10000,10000,100,1000,1000,100,100,100,0,0,0,0,127,180,[0|0]
1,NPC common neck -- NPC共通 首,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,65,[0|0]
2,NPC common torso 1 -- NPC共通 胴1,0.1,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,1,15,[0|0]
3,NPC common torso 2 -- NPC共通 胴2,0.1,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,2,5,[0|0]
10,Humanoid general-purpose left foot -- 人型汎用左足,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
11,Humanoid general purpose right foot -- 人型汎用右足,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
18,Copy_test right leg -- コピー_テスト右脚,0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
19,Copy_test left leg -- コピー_テスト左脚,0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
100,heroine -- ヒロイン,0.05,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,[0|0]
200,VIP -- 要人,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,[0|0]
300,Blacksmith Edo -- 鍛冶屋江戸,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,40,[0|0]
400,Slave soldier -- 奴隷兵士,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,[0|0]
500,Former aristocratic lady -- 元貴族婦人,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,[0|0]
600,Puppet messenger -- 人形使い,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,[0|0]
700,Beggar woman -- 乞食女,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,[0|0]
800,Baldwin -- ボールドウィン,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,50,[0|0]
900,Beggar man -- 乞食男,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,40,[0|0]
998,Copy_Old general purpose left foot -- コピー_旧汎用左足,0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
999,Copy_Old general purpose right foot -- コピー_旧汎用右足,0,0,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
1000,Hound _ -- 猟犬_,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
1001,Hound _ -- 猟犬_,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
1002,Hound _ -- 猟犬_,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
1003,Hound _ -- 猟犬_,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
1010,Priest_left foot -- 司祭_左足,0,2,-200,370,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,[0|0]
1011,Priest_right foot -- 司祭_右足,0,2,-200,370,-95,55,0,1,250,235,0,0,10,40,100,100,50,100,80,4,1,1,1,0,0,[0|0]
1022,Crowd A_ swing setting -- 群衆Ａ_首振り設定,0.2,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,45,[0|0]
1030,Crowd B_left foot -- 群衆Ｂ_左足,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
1031,Crowd B_right foot -- 群衆Ｂ_右足,0,0,-30,70,-95,55,1,30,70,55,0,0,0,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
2000,Mukademon right foot -- ムカデーモン右足,0,-10,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
2001,Mukademon left foot -- ムカデーモン左足,0,-10,-200,230,-95,55,1,30,250,235,0,0,80,18,100,100,20,100,80,4,0,1,1,0,0,[0|0]
