ID,Name,correctionRate,minToughness,isNonEffectiveCorrectionForMin,pad2,spEffectId,pad1,
1,General parameters for enemies -- 敵用の汎用パラメータ,1,0,0,0,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10,General purpose: 1.0 times -- 汎用：1.0倍,1,0,0,0,6350,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
15,General purpose: 1.5 times -- 汎用：1.5倍,1.5,0,0,0,6351,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20,General purpose: 2.0 times -- 汎用：2.0倍,2,0,0,0,6352,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
25,General purpose: 2.5 times -- 汎用：2.5倍,2.5,0,0,0,6353,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
30,General purpose: 3.0 times -- 汎用：3.0倍,3,0,0,0,6354,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
50,Rolling: Toughness (less than straight sword) -- ローリング中：強靭度（直剣以下）,0.25,0,0,0,6360,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
100,Attack: One hand: Weak -- 攻撃：片手：弱,1,0,0,0,6352,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
101,Attack: One hand: Weak: Minimum guarantee -- 攻撃：片手：弱：最低保障,1,20,0,0,6352,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
110,Attack: One hand: Strong -- 攻撃：片手：強,1,0,0,0,6352,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
111,Attack: One hand: Strong: Minimum guarantee -- 攻撃：片手：強：最低保障,1,20,0,0,6352,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
120,Attack: One hand: Strong MAX accumulation -- 攻撃：片手：強MAX溜め,1.5,0,0,0,6353,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
121,Attack: One hand: Strong MAX Accumulation: Minimum guarantee -- 攻撃：片手：強MAX溜め：最低保障,1.5,20,0,0,6353,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
