ID,Name,limitationTime_0,observeTime_0,limitationTime_1,observeTime_1,limitationTime_2,observeTime_2,limitationTime_3,observeTime_3,
101,Intrusion level 1 -- 乱入 レベル1,900,600,600,450,300,200,0,0
102,Intrusion level 2 -- 乱入 レベル2,900,600,600,450,300,200,0,0
103,Intrusion level 3 -- 乱入 レベル3,900,480,600,450,300,200,0,0
104,Intrusion level 4 -- 乱入 レベル4,900,480,600,450,300,200,0,0
105,Intrusion level 5 -- 乱入 レベル5,900,480,600,450,300,200,0,0
106,Intrusion level 6 -- 乱入 レベル6,900,300,600,450,300,200,0,0
107,Intrusion level 7 -- 乱入 レベル7,900,300,600,450,300,200,0,0
108,Intrusion level 8 -- 乱入 レベル8,900,300,600,450,300,200,0,0
109,Intrusion level 9 -- 乱入 レベル9,900,180,600,450,300,200,0,0
110,Intrusion level 10 -- 乱入 レベル10,900,180,600,450,300,200,0,0
201,Map Guardian (Forest) Level 1 -- マップ守護（森） レベル1,900,600,600,450,300,200,0,0
202,Map Guardian (Forest) Level 2 -- マップ守護（森） レベル2,900,600,600,450,300,200,0,0
203,Map Guardian (Forest) Level 3 -- マップ守護（森） レベル3,900,480,600,450,300,200,0,0
204,Map Guardian (Forest) Level 4 -- マップ守護（森） レベル4,900,480,600,450,300,200,0,0
205,Map Guardian (Forest) Level 5 -- マップ守護（森） レベル5,900,480,600,450,300,200,0,0
206,Map Guardian (Forest) Level 6 -- マップ守護（森） レベル6,900,300,600,450,300,200,0,0
207,Map Guardian (Forest) Level 7 -- マップ守護（森） レベル7,900,300,600,450,300,200,0,0
208,Map Guardian (Forest) Level 8 -- マップ守護（森） レベル8,900,300,600,450,300,200,0,0
209,Map Guardian (Forest) Level 9 -- マップ守護（森） レベル9,900,180,600,450,300,200,0,0
210,Map Guardian (Forest) Level 10 -- マップ守護（森） レベル10,900,180,600,450,300,200,0,0
301,Map Guardian (Anor) Level 1 -- マップ守護（アノール） レベル1,900,600,600,450,300,200,0,0
302,Map Guardian (Anor) Level 2 -- マップ守護（アノール） レベル2,900,600,600,450,300,200,0,0
303,Map Guardian (Anor) Level 3 -- マップ守護（アノール） レベル3,900,480,600,450,300,200,0,0
304,Map Guardian (Anor) Level 4 -- マップ守護（アノール） レベル4,900,480,600,450,300,200,0,0
305,Map Guardian (Anor) Level 5 -- マップ守護（アノール） レベル5,900,480,600,450,300,200,0,0
306,Map Guardian (Anor) Level 6 -- マップ守護（アノール） レベル6,900,300,600,450,300,200,0,0
307,Map Guardian (Anor) Level 7 -- マップ守護（アノール） レベル7,900,300,600,450,300,200,0,0
308,Map Guardian (Anor) Level 8 -- マップ守護（アノール） レベル8,900,300,600,450,300,200,0,0
309,Map Guardian (Anor) Level 9 -- マップ守護（アノール） レベル9,900,180,600,450,300,200,0,0
310,Map Guardian (Anor) Level 10 -- マップ守護（アノール） レベル10,900,180,600,450,300,200,0,0
401,Red hunting level 1 -- 赤狩り レベル1,300,900,300,900,600,900,900,900
402,Red hunting level 2 -- 赤狩り レベル2,300,900,300,900,600,900,900,900
403,Red hunting level 3 -- 赤狩り レベル3,300,900,300,900,600,900,900,900
404,Red hunting level 4 -- 赤狩り レベル4,300,900,300,900,600,900,900,900
405,Red hunting level 5 -- 赤狩り レベル5,300,900,300,900,600,900,900,900
406,Red hunting level 6 -- 赤狩り レベル6,300,900,300,900,600,900,900,900
407,Red hunting level 7 -- 赤狩り レベル7,300,900,300,900,600,900,900,900
408,Red hunting level 8 -- 赤狩り レベル8,300,900,300,900,600,900,900,900
409,Red hunting level 9 -- 赤狩り レベル9,300,900,300,900,600,900,900,900
410,Red hunting level 10 -- 赤狩り レベル10,300,900,300,900,600,900,900,900
