ID,Name,aiVolumeRate,spEffectIdOnHit0,spEffectIdOnHit1,footEffectHeightType,footEffectDirType,floorHeightType,disableFallDamage,pad1,hardnessType,wetTiming,pad2,spEffectId_forWet,spEffectIdOnHit0_ClearCount_2,spEffectIdOnHit0_ClearCount_3,spEffectIdOnHit0_ClearCount_4,spEffectIdOnHit0_ClearCount_5,spEffectIdOnHit0_ClearCount_6,spEffectIdOnHit0_ClearCount_7,spEffectIdOnHit0_ClearCount_8,spEffectIdOnHit1_ClearCount_2,spEffectIdOnHit1_ClearCount_3,spEffectIdOnHit1_ClearCount_4,spEffectIdOnHit1_ClearCount_5,spEffectIdOnHit1_ClearCount_6,spEffectIdOnHit1_ClearCount_7,spEffectIdOnHit1_ClearCount_8,fallDeathDist,fallDamageRate,pad,
0,dummy -- ダミー,1,-1,-1,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
1,Cobblestone -- 石畳,1,-1,-1,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
2,unused -- 未使用,1,-1,-1,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
3,soil -- 土,1,-1,-1,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
4,wood -- 木材,1,-1,-1,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
5,Grassland -- 草地,1,-1,-1,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
6,gravel -- 砂利,1,-1,-1,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
7,bamboo -- 竹,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
8,Tree -- 樹木,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
9,Straw (soft) -- 藁（柔）,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
10,Straw (hard) -- 藁（硬）,1,-1,-1,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
11,iron -- 鉄,1,-1,-1,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
12,flesh and blood -- 血肉,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
13,sand -- 砂,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
14,Bone -- 骨,1,-1,-1,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
15,Ash -- 灰,1,-1,-1,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
16,tile -- 瓦,1,-1,-1,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,1,[0|0|0|0|0|0|0|0|0|0|0|0]
