ID,Name,bonusSoul_single,bonusSoul_multi,humanityPointCountFlagIdTop,humanityDropPoint1,humanityDropPoint2,humanityDropPoint3,humanityDropPoint4,humanityDropPoint5,humanityDropPoint6,humanityDropPoint7,humanityDropPoint8,humanityDropPoint9,humanityDropPoint10,soloBreakInPoint_Min,soloBreakInPoint_Max,bonusSkillPoint,reserve,
0,test -- テスト,10000,10000,-1,0,0,0,0,0,0,0,0,0,0,0,10000,0,[0|0|0|0]
1,Test 1 -- テスト1,10000,10000,-1,0,0,0,0,0,0,0,0,0,0,0,10000,0,[0|0|0|0]
1000800,Butterflies -- お蝶,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1500,[0|0|0|0]
1000900,Chief of the Ninja Army_The heyday -- 忍軍の長_全盛期,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10000,[0|0|0|0]
1100800,Horse-riding warrior -- 騎馬武者,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1000,[0|0|0|0]
1100900,Buddhist demon -- 仏師鬼,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15000,[0|0|0|0]
1110801,Second rival -- ライバル2回目,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2000,[0|0|0|0]
1110850,Ninja Army Chief_Coward -- 忍軍の長_卑怯,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,6000,[0|0|0|0]
1110900,Medical Holy Daughter -- 医聖の娘,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0]
1110920,Sword of the sickbed -- 病床の剣聖,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10000,[0|0|0|0]
1120800,Rival first time -- ライバル初回,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0]
1120830,3rd rival -- ライバル3回目,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0]
1120860,Revived Kensei -- 甦った剣聖,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,20000,[0|0|0|0]
1500800,Haunting Monk_Phantom -- 破戒僧_幻影,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,5500,[0|0|0|0]
1700800,Yasha Ape -- 夜叉猿,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,4000,[0|0|0|0]
1700850,Yasha Ape_Neckless -- 夜叉猿_首無し,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,5000,[0|0|0|0]
2000800,Chigo monkey -- 稚児猿,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,3000,[0|0|0|0]
2500800,Mermaid dragon -- 人魚竜,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,12000,[0|0|0|0]
2500840,Okiryu_Large -- 翁竜_大,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0]
2500850,Haunting monk -- 破戒僧,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,8000,[0|0|0|0]
