ID,Name,sfxId_00,sfxId_01,sfxId_02,sfxId_03,sfxId_04,sfxId_05,sfxId_06,sfxId_07,sfxId_08,sfxId_09,sfxId_10,sfxId_11,sfxId_12,sfxId_13,sfxId_14,sfxId_15,sfxId_16,sfxId_17,sfxId_18,sfxId_19,sfxId_20,sfxId_21,sfxId_22,sfxId_23,sfxId_24,sfxId_25,sfxId_26,sfxId_27,sfxId_28,sfxId_29,sfxId_30,sfxId_31,sfxId_32,sfxId_33,sfxId_34,sfxId_35,sfxId_36,sfxId_37,sfxId_38,sfxId_39,sfxId_40,sfxId_41,sfxId_42,sfxId_43,sfxId_44,sfxId_45,sfxId_46,sfxId_47,sfxId_48,sfxId_49,sfxId_50,sfxId_51,sfxId_52,sfxId_53,sfxId_54,sfxId_55,sfxId_56,sfxId_57,sfxId_58,sfxId_59,sfxId_60,sfxId_61,sfxId_62,sfxId_63,sfxId_64,sfxId_65,sfxId_66,sfxId_67,sfxId_68,sfxId_69,sfxId_70,sfxId_71,sfxId_72,sfxId_73,sfxId_74,sfxId_75,sfxId_76,sfxId_77,sfxId_78,sfxId_79,sfxId_80,sfxId_81,sfxId_82,sfxId_83,sfxId_84,sfxId_85,sfxId_86,sfxId_87,sfxId_88,sfxId_89,sfxId_90,sfxId_91,sfxId_92,sfxId_93,sfxId_94,sfxId_95,sfxId_96,sfxId_97,sfxId_98,sfxId_99,sfxId_100,sfxId_101,sfxId_102,sfxId_103,sfxId_104,sfxId_105,sfxId_106,sfxId_107,sfxId_108,sfxId_109,sfxId_110,sfxId_111,sfxId_112,sfxId_113,sfxId_114,sfxId_115,sfxId_116,sfxId_117,sfxId_118,sfxId_119,sfxId_120,sfxId_121,sfxId_122,sfxId_123,sfxId_124,sfxId_125,sfxId_126,sfxId_127,sfxId_128,sfxId_129,sfxId_130,sfxId_131,sfxId_132,sfxId_133,sfxId_134,sfxId_135,sfxId_136,sfxId_137,sfxId_138,sfxId_139,sfxId_140,sfxId_141,sfxId_142,sfxId_143,sfxId_144,sfxId_145,sfxId_146,sfxId_147,sfxId_148,sfxId_149,sfxId_150,sfxId_151,sfxId_152,sfxId_153,sfxId_154,sfxId_155,sfxId_156,sfxId_157,sfxId_158,sfxId_159,sfxId_160,sfxId_161,sfxId_162,sfxId_163,sfxId_164,sfxId_165,sfxId_166,sfxId_167,sfxId_168,sfxId_169,sfxId_170,sfxId_171,sfxId_172,sfxId_173,sfxId_174,sfxId_175,sfxId_176,sfxId_177,sfxId_178,sfxId_179,sfxId_180,sfxId_181,sfxId_182,sfxId_183,sfxId_184,sfxId_185,sfxId_186,sfxId_187,sfxId_188,sfxId_189,sfxId_190,sfxId_191,sfxId_192,sfxId_193,sfxId_194,sfxId_195,sfxId_196,sfxId_197,sfxId_198,sfxId_199,
0,test -- test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,stone -- 石,101001,101001,101002,101003,101004,0,0,0,0,0,101011,101011,101012,101013,101014,0,0,0,0,0,101021,101021,101022,101023,101024,0,0,0,0,0,101031,101031,101032,101033,101034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101101,101101,101102,101103,101104,101105,101106,101107,101108,101109,101111,101111,101112,101113,101114,0,0,0,0,0,101121,101121,101122,101123,101124,0,0,0,0,0,101131,101131,101132,101133,101134,0,0,0,0,0,101141,101141,101142,101143,101144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Stone (dusty) -- 石(埃多い),102001,102001,102002,102003,102004,0,0,0,0,0,102011,102011,102012,102013,102014,0,0,0,0,0,102021,102021,102022,102023,102024,0,0,0,0,0,102031,102031,102032,102033,102034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102101,102101,102102,102103,102104,0,0,0,0,0,102111,102111,102112,102113,102114,0,0,0,0,0,102121,102121,102122,102123,102124,0,0,0,0,0,102131,102131,102132,102133,102134,0,0,0,0,0,102141,102141,102142,102143,102144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,soil -- 土,103001,103001,103002,103003,103004,0,0,0,0,0,103011,103011,103012,103013,103014,0,0,0,0,0,103021,103021,103022,103023,103024,0,0,0,0,0,103031,103031,103032,103033,103034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103101,103101,103102,103103,103104,0,0,0,0,0,103111,103111,103112,103113,103114,0,0,0,0,0,103121,103121,103122,103123,103124,0,0,0,0,0,103131,103131,103132,103133,103134,0,0,0,0,0,103141,103141,103142,103143,103144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,wood -- 木材,132001,132001,132002,132003,132004,0,0,0,0,0,132011,132011,132012,132013,132014,0,0,0,0,0,132021,132021,132022,132023,132024,0,0,0,0,0,132031,132031,132032,132033,132034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132101,132101,132102,132103,132104,101105,101106,101107,101108,101109,132111,132111,132112,132113,132114,0,0,0,0,0,132121,132121,132122,132123,132124,0,0,0,0,0,132131,132131,132132,132133,132134,0,0,0,0,0,132141,132141,132142,132143,132144,104141,104141,104142,104143,104144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Grassland -- 草地,103001,103001,103002,103003,103004,0,0,0,0,0,103011,103011,103012,103013,103014,0,0,0,0,0,103021,103021,103022,103023,103024,0,0,0,0,0,103031,103031,103032,103033,103034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103101,103101,103102,103103,103104,0,0,0,0,0,103111,103111,103112,103113,103114,0,0,0,0,0,103121,103121,103122,103123,103124,0,0,0,0,0,103131,103131,103132,103133,103134,0,0,0,0,0,103141,103141,103142,103143,103144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,gravel -- 砂利,103001,103001,103002,103003,103004,0,0,0,0,0,103011,103011,103012,103013,103014,0,0,0,0,0,103021,103021,103022,103023,103024,0,0,0,0,0,103031,103031,103032,103033,103034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103101,103101,103102,103103,103104,0,0,0,0,0,103111,103111,103112,103113,103114,0,0,0,0,0,103121,103121,103122,103123,103124,0,0,0,0,0,103131,103131,103132,103133,103134,0,0,0,0,0,103141,103141,103142,103143,103144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,magma -- マグマ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Tree -- 樹木,103001,103001,103002,103003,103004,0,0,0,0,0,103011,103011,103012,103013,103014,0,0,0,0,0,103021,103021,103022,103023,103024,0,0,0,0,0,103031,103031,103032,103033,103034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103101,103101,103102,103103,103104,0,0,0,0,0,103111,103111,103112,103113,103114,0,0,0,0,0,103121,103121,103122,103123,103124,0,0,0,0,0,103131,103131,103132,103133,103134,0,0,0,0,0,103141,103141,103142,103143,103144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Straw (soft) -- 藁（柔）,109001,109001,109001,109001,109001,0,0,0,0,0,109011,109011,109011,109011,109011,0,0,0,0,0,109021,109021,109021,109021,109021,0,0,0,0,0,109031,109031,109031,109031,109031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109111,109111,109111,109111,109111,0,0,0,0,0,109111,109111,109111,109111,109111,0,0,0,0,0,109121,109121,109121,109121,109121,0,0,0,0,0,109131,109131,109131,109131,109131,0,0,0,0,0,109141,109141,109141,109141,109141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
