ID,Name,hp,defense,extRefTexId,materialId,animBreakIdMax,isSaveBreakState,isBreakByPlayerCollide,isAnimBreak,isPenetrationBulletHit,pad8,isAttackBacklash,isDisableBreakForFirstAppear,isLadder,isAnimPauseOnRemoPlay,pad9,isMoveObj,isRopeBridge,isAddRigidImpulse_ByDamage,isBreak_ByChrRide,isBurn,isBreakByEnemyCollide,defaultLodParamId,breakSfxId,breakSfxCpId,breakBulletBehaviorId,breakBulletCpId,breakFallHeight,windEffectType_0,windEffectType_1,camAvoidType,windEffectRate_0,windEffectRate_1,breakStopTime,burnTime,burnBraekRate,burnSfxId,burnSfxId_1,burnSfxId_2,burnSfxId_3,burnBulletBehaviorId,burnBulletBehaviorId_1,burnBulletBehaviorId_2,burnBulletBehaviorId_3,burnBulletInterval,navimeshFlag,collisionType,burnBulletDelayTime,burnSfxDelayTimeMin,burnSfxDelayTimeMin_1,burnSfxDelayTimeMin_2,burnSfxDelayTimeMin_3,burnSfxDelayTimeMax,burnSfxDelayTimeMax_1,burnSfxDelayTimeMax_2,burnSfxDelayTimeMax_3,BreakAiSoundID,FragmentInvisibleWaitTime,FragmentInvisibleTime,pad_3,RigidPenetrationScale_Soft,RigidPenetrationScale_Normal,RigidPenetrationScale_Hard,LandTouchSfxId,isDamageCover,isUserPhysicForChrCollide,paintDecalTargetTextureSize,lifeTime_forDC,clothUpdateDist,contactSeId,breakLandingSfxId,extHitSfx_S,extHitSfx_M,extHitSfx_L,extHitSfx_LL,extHitSfx_LLL,breakSfxOffsetX,breakSfxOffsetY,breakSfxOffsetZ,isEnableWallJump,doesStopPlayerDockedMove,isDisableEnvMapCapture,pad_5,autoDrawGroupPassPixel,autoDrawGroupDisableDepthWrite,useExpandVolume,pad_6,SpecialEffectId_InsideHit,expandVolumeX_plus,expandVolumeX_minus,expandVolumeY_plus,expandVolumeY_minus,expandVolumeZ_plus,expandVolumeZ_minus,camDitherFadeMinDist,camDitherFadeMaxDist,pad_7,
0,Don&#39;t erase -- 消すな,-1,0,-1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,2,0,0,0,0,0,0,0,0,0,5000020,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0.025,0.5,1,-1,0,0,128,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,[0|0],-1,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
100,Item drawstring -- アイテム巾着,-1,0,-1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0.5,0.01,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,4,0,0,0,0,0,0,0,0,0,5000020,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0.025,0.5,1,-1,0,0,64,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,10,1,1,[0|0],-1,0.25,0.25,0.5,0,0.25,0.25,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
300,Bloody Smoke Shinobi Gaze Shielding Dummy -- 血煙忍殺視線遮蔽ダミー,-1,0,-1,10,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,9,0,0,0,0,0,0,0,0,0,5000020,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0.025,0.5,1,-1,0,0,128,4,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,[0|0],-1,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1000,Falling ninja debug scaffolding -- 落下忍殺デバッグ足場,-1,0,-1,10,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,5000020,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0.025,0.5,1,-1,1,0,128,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,-1,0,0,[0|0],-1,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1001,Destruction and anime debugging -- 破壊とアニメデバッグ,1,0,-1,10,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,5000020,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0.025,0.5,1,-1,0,0,128,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,-1,0,0,[0|0],-1,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1400,White door_small -- 白扉_小,-1,0,-1,29,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9999,2,0,0,0,0,0,0,0,0,0,0,5000020,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0.025,0.5,1,-1,1,0,128,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,0,-1,1,0,[0|0],-1,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1401,White door_middle -- 白扉_中,-1,0,-1,29,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,5000020,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0.025,0.5,1,-1,1,0,128,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,0,-1,1,0,[0|0],-1,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1402,White door_large -- 白扉_大,-1,0,-1,29,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,5000020,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0.025,0.5,1,-1,1,0,128,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,0,-1,1,0,[0|0],-1,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1500,Plot twist door -- どんでん返し扉,-1,0,-1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,0.5,0.5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,5000020,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0.025,0.5,1,-1,1,0,128,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,-1,1,0,[0|0],-1,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
2000,Riding pine (turn left) _ Criteria -- 乗れる松（左曲がり）_基準,-1,0,-1,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0.5,0.01,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9999,0,0,0,0,0,0,0,0,0,0,0,5000020,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0],0.025,0.5,1,-1,1,0,64,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,-1,0,0,[0|0],-1,0,0,0,0,0,0,0.5,2.5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
