ID,Name,eventFlagId,progressValue,reserved,
0,Abyss Observer Subjugation -- 深遠の監視者討伐,6100,10,[0|0|0|0|0|0|0|0|0|0|0]
1,Harek Subjugation -- ハレック討伐,6101,10,[0|0|0|0|0|0|0|0|0|0|0]
2,Sullivan Subjugation -- サリヴァーン討伐,6102,10,[0|0|0|0|0|0|0|0|0|0|0]
3,Subjugation of the two princes -- 双皇子討伐,6103,10,[0|0|0|0|0|0|0|0|0|0|0]
4,Hero Gunda Subjugation -- 英雄グンダ討伐,6104,5,[0|0|0|0|0|0|0|0|0|0|0]
5,Full armor beast subjugation -- フルアーマー獣討伐,6105,5,[0|0|0|0|0|0|0|0|0|0|0]
6,Crystal Elder Subjugation -- 結晶の古老討伐,6106,5,[0|0|0|0|0|0|0|0|0|0|0]
7,Subjugation of the Cardinals -- 枢機卿団討伐,6107,10,[0|0|0|0|0|0|0|0|0|0|0]
8,Subjugation of the King of the Dead -- 死霊の王討伐,6108,5,[0|0|0|0|0|0|0|0|0|0|0]
9,Subjugation of the Old King of Corrosion -- 蝕の老王討伐,6109,10,[0|0|0|0|0|0|0|0|0|0|0]
10,Tracker subjugation -- 追跡者討伐,6110,5,[0|0|0|0|0|0|0|0|0|0|0]
11,Subjugation of the guardian knight of the dragon -- 竜の守護騎士討伐,6111,5,[0|0|0|0|0|0|0|0|0|0|0]
12,I saw ED * Regardless of type -- EDを見た※種類問わず,6112,100,[0|0|0|0|0|0|0|0|0|0|0]
