ID,Name,Slash_S,Slash_M,Slash_L,Slash_LL,Slash_LLL,Thrust_S,Thrust_M,Thrust_L,Thrust_LL,Thrust_LLL,Blow_S,Blow_M,Blow_L,Blow_LL,Blow_LLL,reserve,
0,None -- なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10,spark -- 火花,201000,201001,201002,201003,201004,201000,201001,201002,201003,201004,201000,201001,201002,201003,201004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20,General purpose smoke -- 汎用煙,202000,202001,202002,202003,202004,202000,202001,202002,202003,202004,202000,202001,202002,202003,202004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
30,Sand smoke -- 砂煙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
40,soil -- 土,204000,204001,204002,204003,204004,204000,204001,204002,204003,204004,204000,204001,204002,204003,204004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
50,gravel -- 砂利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
60,Ash smoke -- 灰煙,206000,206001,206002,206003,206004,206000,206001,206002,206003,206004,206000,206001,206002,206003,206004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
70,dust -- 埃,207000,207001,207002,207003,207004,207000,207001,207002,207003,207004,207000,207001,207002,207003,207004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
80,A piece of wood -- 木片,208000,208001,208002,208003,208004,208000,208001,208002,208003,208004,208000,208001,208002,208003,208004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
90,Stone fragment -- 石片,209000,209001,209002,209003,209004,209000,209001,209002,209003,209004,209000,209001,209002,209003,209004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
100,Bone fragment -- 骨片,210000,210001,210002,210003,210004,210000,210001,210002,210003,210004,210000,210001,210002,210003,210004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
110,Crystal pieces -- 結晶片,211000,211001,211002,211003,211004,211000,211001,211002,211003,211004,211000,211001,211002,211003,211004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
120,Fragment -- 草片,212000,212001,212002,212002,212002,212000,212001,212002,212002,212002,212000,212001,212002,212002,212002,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
130,leaf -- 葉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
140,Deciduous leaves -- 落葉,214000,214001,214002,214003,214004,214000,214001,214002,214003,214004,214000,214001,214002,214003,214004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
150,God grave net piece -- 神墓ネット片,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
160,Water splash -- 水飛沫,216000,216001,216002,216003,216004,216000,216001,216002,216003,216004,216000,216001,216002,216003,216004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
170,Mud splash -- 泥飛沫,217000,217001,217002,217003,217004,217000,217001,217002,217003,217004,217000,217001,217002,217003,217004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
180,Poison swamp splash -- 毒沼飛沫,218000,218001,218002,218003,218004,218000,218001,218002,218003,218004,218000,218001,218002,218003,218004,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
190,oil -- 油,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
200,Blood (living) _ front -- 血(生者)_正面,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
