ID,Name,textId,textId_female,timeout,pad,soundId_pc,soundId0,soundId1,soundId2,soundId3,soundId4,soundId5,soundId6,soundId7,soundId0_pc_female,soundId0_female,soundId1_female,soundId2_female,soundId3_female,soundId4_female,soundId5_female,soundId6_female,soundId7_female,lookAtTarget_pc,lookAtTarget0,lookAtTarget1,lookAtTarget2,lookAtTarget3,lookAtTarget4,lookAtTarget5,lookAtTarget6,lookAtTarget7,talkAnimation_pc,talkAnimation0,talkAnimation1,talkAnimation2,talkAnimation3,talkAnimation4,talkAnimation5,talkAnimation6,talkAnimation7,lipSyncStart_pc,lipSyncStart0,lipSyncStart1,lipSyncStart2,lipSyncStart3,lipSyncStart4,lipSyncStart5,lipSyncStart6,lipSyncStart7,lipSyncTime_pc,lipSyncTime0,lipSyncTime1,lipSyncTime2,lipSyncTime3,lipSyncTime4,lipSyncTime5,lipSyncTime6,lipSyncTime7,pad1,
1000000,(Guha!) -- （ぐはっ！）,1000000,1000000,0,[0|0|0|0],-1,1000000,-1,-1,-1,-1,-1,-1,-1,-1,1000000,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0|0]
1000001,(Gu ... ga ...) -- （ぐ…がっ…）,1000001,1000001,0,[0|0|0|0],-1,1000001,-1,-1,-1,-1,-1,-1,-1,-1,1000001,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0|0]
1000002,You fought for me -- 私のため、そなたは戦ってくれた,1000002,1000002,0,[0|0|0|0],-1,1000002,-1,-1,-1,-1,-1,-1,-1,-1,1000002,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0|0]
1000003,Is it possible to throw it away? -- 捨て置くことなど、できるものか,1000003,1000003,0,[0|0|0|0],-1,1000003,-1,-1,-1,-1,-1,-1,-1,-1,1000003,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0|0]
1000004,Wolf- live with my blood ... -- 狼よ、我が血と共に生きてくれ…,1000004,1000004,0,[0|0|0|0],-1,1000004,-1,-1,-1,-1,-1,-1,-1,-1,1000004,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0|0]
1000100,Father ... Mother ... -- 父上…　母上…,1000100,1000100,0,[0|0|0|0],-1,1000100,-1,-1,-1,-1,-1,-1,-1,-1,1000100,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0|0]
1000101,Butterflies ... Where did everyone go ... -- 蝶々よ…　みな、何処へいったのだ…,1000101,1000101,0,[0|0|0|0],-1,1000101,-1,-1,-1,-1,-1,-1,-1,-1,1000101,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0|0]
1000102,Son -- 御子様,1000102,1000102,0,[0|0|0|0],-1,1000102,-1,-1,-1,-1,-1,-1,-1,-1,1000102,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0|0]
1000103,... is it illusion? -- …幻術か,1000103,1000103,0,[0|0|0|0],-1,1000103,-1,-1,-1,-1,-1,-1,-1,-1,1000103,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0|0]
1000104,(U ...) -- （う…）,1000104,1000104,0,[0|0|0|0],-1,1000104,-1,-1,-1,-1,-1,-1,-1,-1,1000104,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0|0]
