ID,Name,eventflagId,bonfireEntityId,msgId,menuTextId,menuImageId,menuPageNo,isHome,blockCultId,grayoutEventflagId,pad1,
100,Rough temple -- 荒れ寺,11100000,1101950,201100,0,201100,0,1,0,11100010,[0|0|0|0]
101,Meditation room -- 瞑想部屋,11110003,1111953,201113,0,201113,0,0,0,11110013,[0|0|0|0]
102,Hidden main hall -- 隠し本堂,12000004,2001954,202004,0,202004,0,0,0,12000014,[0|0|0|0]
1000,Pass -- 峠,11000000,1001950,201000,0,9201000,9,0,0,11000010,[0|0|0|0]
1001,Mansion street -- 屋敷通り,11000001,1001951,201001,0,9201001,9,0,0,11000011,[0|0|0|0]
1002,Bamboo forest slope -- 竹林坂,11000002,1001952,201002,0,9201002,9,0,0,11000012,[0|0|0|0]
1003,Head family -- 本家,11000003,1001953,201003,0,9201003,9,0,0,11000013,[0|0|0|0]
1004,Audience room -- 謁見の間,11000005,1001955,201005,0,9201005,9,0,0,11000015,[0|0|0|0]
1005,Great Buddha Hall -- 大仏殿,11000004,1001954,201004,0,9201004,9,0,0,11000014,[0|0|0|0]
1100,Rough temple -- 荒れ寺,11100000,1101950,201100,0,1201100,1,0,0,11100010,[0|0|0|0]
1101,Castle entrance -- 城下入り口,11100006,1101956,201106,0,1201106,1,0,0,11100016,[0|0|0|0]
1102,In front of the yaguramon -- 櫓門前,11100001,1101951,201101,0,1201101,1,0,0,11100011,[0|0|0|0]
1103,Before the ruins -- 廃墟前,11100002,1101952,201102,0,1201102,1,0,0,11100012,[0|0|0|0]
1104,Koguchi -- 虎口,11100003,1101953,201103,0,1201103,1,0,0,11100013,[0|0|0|0]
1105,In front of the small castle tower -- 小天守前,11100004,1101954,201104,0,1201104,1,0,0,11100014,[0|0|0|0]
1106,Battlefield ruins -- 戦場跡,11100005,1101955,201105,0,1201105,1,0,0,11100015,[0|0|0|0]
1107,Demon Buddhist Master -- 鬼仏師,11100007,1101957,201107,0,1201107,1,0,0,11100017,[0|0|0|0]
1110,In front of the castle tower -- 天守前,11110000,1111950,201110,0,2201110,2,0,0,11110010,[0|0|0|0]
