ID,Name,targetMarkerType,extendWireActionDistance,pad0,recognitionAngleUp,recognitionAngleDown,recognitionAngleLeft,recognitionAngleRight,chrPhysicsHomingIdOffset,pad1,
0,Ride _ no limit -- 乗れる_制限なし,0,0,[0|0],90,90,180,180,0,[0|0|0|0|0|0|0|0]
1,Ride _ vertical and horizontal restrictions -- 乗れる_縦横制限,0,0,[0|0],90,90,90,90,0,[0|0|0|0|0|0|0|0]
2,Ride _ vertical limit -- 乗れる_縦制限,0,0,[0|0],90,90,90,90,0,[0|0|0|0|0|0|0|0]
3,Ride _ horizontal limit -- 乗れる_横制限,0,0,[0|0],90,90,180,180,0,[0|0|0|0|0|0|0|0]
5,Ride _ vertical and horizontal restrictions _ extension 10 -- 乗れる_縦横制限_延長10,0,10,[0|0],90,90,90,90,0,[0|0|0|0|0|0|0|0]
20,I can&#39;t ride _ no limit -- 乗れない_制限なし,1,0,[0|0],90,90,180,180,20,[0|0|0|0|0|0|0|0]
21,I can&#39;t ride _ vertical and horizontal restrictions -- 乗れない_縦横制限,1,0,[0|0],90,90,90,90,0,[0|0|0|0|0|0|0|0]
22,I can&#39;t ride _ vertical limit -- 乗れない_縦制限,1,0,[0|0],90,90,90,90,0,[0|0|0|0|0|0|0|0]
23,I can&#39;t ride _ horizontal limit -- 乗れない_横制限,1,0,[0|0],90,90,180,180,0,[0|0|0|0|0|0|0|0]
24,I can&#39;t ride _ Castle Snake Valley -- 乗れない_城下蛇谷,1,0,[0|0],90,90,180,180,24,[0|0|0|0|0|0|0|0]
40,Kite_temple ← → valley -- 凧_寺←→渓谷,1,30,[0|0],90,90,180,180,40,[0|0|0|0|0|0|0|0]
41,Kite_Honjo_Honmaru ← → Honjo_Outer -- 凧_本城_本丸←→本城_外郭,1,30,[0|0],90,50,30,10,41,[0|0|0|0|0|0|0|0]
45,Tentacle scaffolding_mermaid dragon battle -- 触手足場_人魚竜戦,0,0,[0|0],90,90,180,180,53105,[0|0|0|0|0|0|0|0]
10700,c1070_ Shura Samurai 0 -- c1070_修羅侍0,1,0,[0|0],90,90,180,180,10700,[0|0|0|0|0|0|0|0]
10701,c1070_ Shura Samurai 1 -- c1070_修羅侍1,1,0,[0|0],90,90,180,180,10701,[0|0|0|0|0|0|0|0]
10702,c1070_ Shura Samurai 2 -- c1070_修羅侍2,1,0,[0|0],90,90,180,180,10702,[0|0|0|0|0|0|0|0]
10800,c1080_ Seven-sided warrior 0 -- c1080_七面武者0,1,0,[0|0],90,90,180,180,10800,[0|0|0|0|0|0|0|0]
10801,c1080_ Seven-sided warrior 1 -- c1080_七面武者1,1,0,[0|0],90,90,180,180,10801,[0|0|0|0|0|0|0|0]
10802,c1080_ Seven-sided warrior 2 -- c1080_七面武者2,1,0,[0|0],90,90,180,180,10802,[0|0|0|0|0|0|0|0]
11800,c1180_ younger man -- c1180_下男,1,0,[0|0],90,90,180,180,11800,[0|0|0|0|0|0|0|0]
13700,c1370 Fire cow only 0 -- c1370火牛専用0,1,0,[0|0],90,90,180,180,13700,[0|0|0|0|0|0|0|0]
