ID,Name,edgeColorA,frontColorA,diffMulColorA,specMulColorA,lightColorA,edgeColorR,edgeColorG,edgeColorB,frontColorR,frontColorG,frontColorB,diffMulColorR,diffMulColorG,diffMulColorB,specMulColorR,specMulColorG,specMulColorB,lightColorR,lightColorG,lightColorB,reserve,alpha,blendRate,blendType,isEdgeSubtract,isFrontSubtract,isNo2Pass,
1,Small white phantom -- 小白ファントム,1,0,1,1,1,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,1,1,0,0,0,0
2,White phantom -- 白ファントム,1,0.02,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0
3,Blue phantom 0 -- 青ファントム0,0.63,1,1,1,0.5,64,128,200,80,48,0,255,255,255,255,255,255,128,128,200,0,1,0.5,0,0,1,0
4,Blue phantom 1 -- 青ファントム1,0.63,1,1,1,0.5,64,128,200,80,48,0,255,255,255,255,255,255,128,128,200,0,1,0.5,0,0,1,0
5,Blue phantom 2 -- 青ファントム2,1,1,1,1,1,160,160,255,80,48,0,255,255,255,255,255,255,160,160,255,0,1,1,0,0,1,0
28,Blue phantom 3 -- 青ファントム3,1,1,1,1,1,160,160,255,80,48,0,255,255,255,255,255,255,160,160,255,0,1,1,0,0,1,0
6,Small money phantom -- 小金ファントム,1,1,1,1,1,160,96,0,0,8,160,255,255,255,255,255,255,160,96,0,0,1,1,0,0,1,0
7,Gold phantom -- 金ファントム,1,1,1,1,1,255,160,0,0,32,255,255,255,255,255,255,255,255,160,0,0,1,1,0,0,1,0
8,Red phantom 0 -- 赤ファントム0,1,1,1,1,1,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,0,1,0
9,Red phantom 1 -- 赤ファントム1,0.63,1,1,1,1,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,0,1,0
10,Red phantom 2 -- 赤ファントム2,1,1,1,1,1,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,0,1,0
29,Red phantom 3 -- 赤ファントム3,1,1,1,1,1,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,0,1,0
11,Black phantom -- 黒ファントム,1,1,1,1,0.5,0,255,255,64,255,200,255,255,255,255,255,255,255,0,32,0,1,1,0,1,1,0
12,Dragon Spirit Phantom -- 竜霊ファントム,1,1,1,1,0.78,128,110,100,32,32,32,255,255,255,255,255,255,210,200,160,0,1,0.6,0,0,1,0
13,Abyss Phantom -- 深淵ファントム,1,1,1,1,0.78,32,16,64,30,30,0,255,255,255,255,255,255,225,200,255,0,1,0.6,0,0,1,0
