ID,Name,wirePointSearchParamId0,wirePointSearchParamId1,wirePointSearchParamId2,wirePointSearchParamId3,wirePointSearchParamId4,wirePointSearchParamId5,wirePointSearchParamId6,wirePointSearchParamId7,wirePointSearchParamId8,wirePointSearchParamId9,wirePointSearchParamId10,wirePointSearchParamId11,wirePointSearchParamId12,wirePointSearchParamId13,wirePointSearchParamId14,wirePointSearchParamId15,wirePointSearchParamId16,wirePointSearchParamId17,wirePointSearchParamId18,wirePointSearchParamId19,
0,Normal state (default) -- 通常状態（デフォルト）,0,100,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620000,Protomap_normal -- プロトマップ_通常,0,100,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620010,Protomap_Snake area -- プロトマップ_蛇エリア,0,100,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000200,Samurai residence_Expansion of recognition range -- 武家屋敷_認識範囲拡大,10200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100200,Castle_valley crossing -- 城下_谷渡り,19920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100210,Castle_Cavalry Warrior Boss Map -- 城下_騎馬武者ボスマップ,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100220,Castle_Busshi Demon_Battlefield Ruins -- 城下_仏師鬼_戦場跡,11110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101200,Honjo_wire to the valley side -- 本城_渓谷側へのワイヤー,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101210,Wire to Honjo_Tokugawa kite -- 本城_徳川　凧へのワイヤー,11510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101220,Honjo_Ninja Army Wire to Uchibori Takebashi -- 本城_忍軍　内堀竹橋へのワイヤー,11520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102200,Hidden prison _ Turn off the off-screen display inside the well -- 隠し牢_井戸内で画面外表示を切る,11010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102210,Hidden prison_loophole Maebori -- 隠し牢_抜け穴前堀,11020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300200,Dungeon_Immortal Execution Table -- 地下牢_不死の処刑台,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700100,Valley_Yasha Monkey_Bodhisattva Lake -- 渓谷_夜叉猿_菩薩湖,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700110,Valley_wide valley_dive -- 渓谷_広い谷_ダイブ,17010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700120,Valley_Snake Persimmon Room -- 渓谷_蛇柿部屋,17020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000200,Temple map_valley crossing -- 寺マップ_谷渡り,19920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000201,Temple map_infinite corridor -- 寺マップ_無限回廊,19921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500100,Submerged City_Sea of Clouds_Mermaid Dragon_Short Distance -- 水没都_雲海_人魚竜_近距離,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500110,Submerged city_sea of clouds_mermaid dragon_long distance -- 水没都_雲海_人魚竜_遠距離距離,25010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500200,Submerged city_sea of clouds_old dragon -- 水没都_雲海_翁竜,25020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9990200,Temple design map _ valley crossing -- 寺設計マップ_谷渡り,19920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9990201,Temple design map_infinite corridor -- 寺設計マップ_無限回廊,19921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9990210,Castle_Cavalry Warrior Boss Map -- 城下_騎馬武者ボスマップ,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
