ID,Name,mimicryEstablishment0,mimicryEstablishment1,mimicryEstablishment2,mimicryBeginSfxId0,mimicrySfxId0,mimicryEndSfxId0,mimicryBeginSfxId1,mimicrySfxId1,mimicryEndSfxId1,mimicryBeginSfxId2,mimicrySfxId2,mimicryEndSfxId2,pad1,
0,Don&#39;t erase -- 消すべからず,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
300000000,m30_00_00_00: Royal Castle of Eclipse 1: Wall -- m30_00_00_00：蝕の王城１：城壁,500,500,-1,430000,430001,430002,430030,430031,430032,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
300000001,m30_00_00_00: Royal Castle of Eclipse 1: Fat Square ~ -- m30_00_00_00：蝕の王城１：デブ広場～,1000,-1,-1,430010,430011,430012,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
300100000,m30_01_00_00: The royal castle of eclipse 2 -- m30_01_00_00：蝕の王城２,300,300,300,430040,430041,430042,430050,430051,430052,430060,430061,430062,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
310000000,m31_00_00_00: Tower Town -- m31_00_00_00：塔の街,400,400,200,431000,431001,431002,431010,431011,431012,431020,431021,431022,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
320000000,m32_00_00_00: Bridge -- m32_00_00_00：橋,400,400,200,432000,432001,432002,432010,432011,432012,432020,432021,432022,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
330000000,m33_00_00_00: Poison Swamp Forest: Second half -- m33_00_00_00：毒沼の森：後半,300,300,300,430040,430041,430042,433010,433011,433012,433020,433021,433022,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
330000001,m33_00_00_00: Poison Swamp Forest: First half -- m33_00_00_00：毒沼の森：前半,300,300,300,430040,430041,430042,433000,433001,433002,433010,433011,433012,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
340100000,m34_01_00_00: The royal castle of eclipse 3: indoors -- m34_01_00_00：蝕の王城３：屋内,500,500,-1,430080,430081,430082,430090,430091,430092,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
340100001,m34_01_00_00: The royal castle of eclipse 3: Outdoors -- m34_01_00_00：蝕の王城３：屋外,1000,-1,-1,430070,430071,430072,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
350000000,m35_00_00_00: Basilica Church: Inside -- m35_00_00_00：聖堂教会：内部,400,200,400,434000,434001,434002,434030,434031,434032,434040,434041,434042,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
350000001,m35_00_00_00: Basilica Church: Cemetery -- m35_00_00_00：聖堂教会：墓地,300,300,300,430040,430041,430042,434010,434011,434012,434020,434021,434022,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
370000000,m37_00_00_00: Anor Ruins -- m37_00_00_00：アノール遺跡,500,500,-1,435000,435001,435002,435010,435011,435012,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
370000001,m37_00_00_00: Anor Ruins: Hall -- m37_00_00_00：アノール遺跡：館,500,500,-1,430000,430001,430002,435030,435031,435032,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
370000002,m37_00_00_00: Anor Ruins: Anor Honjin -- m37_00_00_00：アノール遺跡：アノール本陣,1000,-1,-1,435020,435021,435022,-1,-1,-1,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
380000000,m38_00_00_00: Dungeon; upper layer -- m38_00_00_00：ダンジョン；上層,300,300,300,436000,436001,436002,436020,436021,436022,436030,436031,436032,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
380000001,m38_00_00_00: Dungeon: Lower layer -- m38_00_00_00：ダンジョン：下層,500,500,-1,436000,436001,436002,436040,436041,436042,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
390000000,m39_00_00_00: Dungeon -- m39_00_00_00：地下牢,500,500,-1,437000,437001,437002,437010,437011,437012,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
400000000,m40_00_00_00: Base -- m40_00_00_00：拠点,500,500,-1,438000,438001,438002,438010,438011,438012,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
410000000,m41_00_00_00: Last boss area -- m41_00_00_00：ラスボスエリア,500,500,-1,430000,439011,439012,439000,439001,439002,-1,-1,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
