ID,Name,hierarchyGain,velocityDamping,accelGain,velocityGain,positionGain,maxLinerVelocity,maxAngularVelocity,snapGain,enable,partsHitMaskNo,pad,
0,Doesn&#39;t work -- 動かない,0,1,1,1,1,10,10,1,0,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1,Havok default value -- Havokのデフォルト値,0.17,0,1,0.6,0.05,1.4,1.8,0.1,0,-1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1000,Caucasian slave_head -- 白人奴隷_頭部,0,0,0,0,0,0,0,0,1,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1001,Caucasian slave_torso -- 白人奴隷_胴体,0,0,0,0,0,0,0,0,1,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1002,Caucasian slave_right hand -- 白人奴隷_右手,0,0,0,0,0,0,0,0,1,2,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1003,Caucasian slave_left hand -- 白人奴隷_左手,0,0,0,0,0,0,0,0,1,3,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1004,Caucasian slave_right foot -- 白人奴隷_右足,0,0,0,0,0,0,0,0,1,4,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1005,Caucasian slave_left foot -- 白人奴隷_左足,0,0,0,0,0,0,0,0,1,5,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1100,Sokushinbutsu_root -- 即身仏_根元,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1101,Sokushinbutsu_center (from the root) -- 即身仏_真ん中（根元より）,0,0,0,0,0,0,0,0,0,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1102,Sokushinbutsu_center (from the tip) -- 即身仏_真ん中（先端より）,0,0,0,0,0,0,0,0,0,2,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1103,Sokushinbutsu_tip -- 即身仏_先端,0,0,0,0,0,0,0,0,0,3,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1200,Nishikigoi_head -- 錦鯉_頭部,0,0,0,0,0,0,0,0,1,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1201,Nishikigoi_in front of the torso -- 錦鯉_胴体前,0,0,0,0,0,0,0,0,1,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1202,Nishikigoi_after the torso -- 錦鯉_胴体後,0,0,0,0,0,0,0,0,1,2,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1203,Nishikigoi_tail -- 錦鯉_尻尾,0,0,0,0,0,0,0,0,1,3,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1300,Mermaid Dragon_Right Arm -- 人魚竜_右腕,0,0,0,0,0,0,0,0,1,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1301,Mermaid dragon _ head -- 人魚竜_頭部,0,0,0,0,0,0,0,0,1,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1302,Mermaid dragon _ chest -- 人魚竜_胸部,0,0,0,0,0,0,0,0,1,2,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1303,Near the mermaid dragon_neck_root -- 人魚竜_首_付け根付近,0,0,0,0,0,0,0,0,1,3,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1304,Mermaid dragon_neck_middle -- 人魚竜_首_真ん中,0,0,0,0,0,0,0,0,1,4,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1400,Fire cow _ head -- 火牛_頭部,0,0,0,0,0,0,0,0,1,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1401,Fire cow _ ass -- 火牛_尻,0,0,0,0,0,0,0,0,1,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1402,Fire cow _ ass -- 火牛_尻,0,0,0,0,0,0,0,0,1,2,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1500,Bandit_Shield -- 野盗_盾,0,0,0,0,0,0,0,0,1,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1600,Lower man _ shield -- 下男_盾,0,0,0,0,0,0,0,0,1,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
9999,dummy -- ダミー,0,0,0,0,0,0,0,0,0,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0]
