ID,Name,textId,priority,pad1,
0,Don&#39;t erase -- 消すべからず,-1,0,[0|0|0|0|0|0|0|0|0|0|0]
1,Dummy1 -- Dummy1,10010103,1,[0|0|0|0|0|0|0|0|0|0|0]
2,Dummy2 -- Dummy2,10010161,1,[0|0|0|0|0|0|0|0|0|0|0]
3,Dummy3 -- Dummy3,10010130,1,[0|0|0|0|0|0|0|0|0|0|0]
10,Stick -- 張りつく,10010310,1,[0|0|0|0|0|0|0|0|0|0|0]
11,Leave -- 離れる,10010311,1,[0|0|0|0|0|0|0|0|0|0|0]
20,Hanging -- ぶら下がる,10010320,2,[0|0|0|0|0|0|0|0|0|0|0]
21,Climb -- よじ登る,10010321,1,[0|0|0|0|0|0|0|0|0|0|0]
22,get off -- 降りる,10010322,2,[0|0|0|0|0|0|0|0|0|0|0]
30,dive -- 潜る,10010330,1,[0|0|0|0|0|0|0|0|0|0|0]
40,acceleration -- 加速,10010340,2,[0|0|0|0|0|0|0|0|0|0|0]
41,Rise -- 上昇,10010341,3,[0|0|0|0|0|0|0|0|0|0|0]
42,Descent -- 下降,10010342,4,[0|0|0|0|0|0|0|0|0|0|0]
43,Ascend -- 浮上,10010343,1,[0|0|0|0|0|0|0|0|0|0|0]
90,Resurrection -- 復活する,10010390,2,[0|0|0|0|0|0|0|0|0|0|0]
91,die -- 死ぬ,10010391,1,[0|0|0|0|0|0|0|0|0|0|0]
