ID,Name,limitNum_byGroup,pad,
0,unused -- 未使用,0,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1,[PC magic] Activity of the dead -- 【PC魔法】死者の活性,3,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
2,[PC magic] Warmth fire -- 【PC魔法】ぬくもりの火,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
3,[PC magic] Miasma of death -- 【PC魔法】死の瘴気,2,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
4,[PC magic] Poison fog -- 【PC魔法】毒の霧,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
5,[PC magic] Poisonous fog -- 【PC魔法】猛毒の霧,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
6,[PC magic] Acid mist -- 【PC魔法】酸の霧,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
7,[PC Arts] Zombie Crow Wand_Poison Fog -- 【PCアーツ】ゾンビ鴉の杖_毒の霧,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
8,[PC magic] Nozomi -- 【PC魔法】望郷,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
9,Falling Soul: Bullet for generation -- 降り注ぐソウル：発生用弾丸,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10,Falling soul (slot 2: for target bullets): bullets for generation -- 降り注ぐソウル（スロット２：狙う弾用）：発生用弾丸,1,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
