ID,Name,regionType,padding1,dummyPoly1,dummyPoly2,radius,angle,depth,width,height,baseHeightOffset,angleCheckType,padding2,allowAngle,textBoxType,raycastType,padding3,textId,invalidFlag,grayoutFlag,priority,execInvalidTime,actionGroupId,sameCategoryActionDisplay,gameKey,iconType,pointRadius,pointHeight,pointBaseHeightOffset,textRadius,textHeight,textBaseHeightOffset,iconOffsetX,iconOffsetY,iconOffsetZ,doneFlag,
0,Test 0 -- テスト0,0,[0|0|0],1,1,1,1,1,1,1,1,0,[0|0|0],1,0,0,[0|0],0,1,1,1,1,0,0,0,0,4,-1,0,-1,-1,1,0,0,0,-1
1,Test 1 -- テスト1,0,[0|0|0],0,0,0,0,0,0,0,0,0,[0|0|0],0,0,0,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
1000,Regain lost life -- 失ったライフを取り戻す,0,[0|0|0],-1,-1,1.5,180,0,0,1,-0.25,0,[0|0|0],180,0,0,[0|0],50000200,-1,-1,10,3,0,0,0,0,4,-1,0,-1,-1,-0.25,0,0,0,-1
1010,Take a life -- ライフをとる,0,[0|0|0],-1,-1,1.5,180,0,0,1,-0.25,0,[0|0|0],180,0,0,[0|0],50000205,-1,-1,10,3,0,0,0,0,4,-1,0,-1,-1,-0.25,0,0,0,-1
1020,Read the tombstone -- 墓碑を読む,0,[0|0|0],-1,-1,1.5,180,0,0,1,-0.25,0,[0|0|0],180,0,0,[0|0],50000100,-1,-1,10,3,0,0,0,0,4,-1,0,-1,-1,-0.25,0,0,0,-1
2000,Read the letter (summon) -- 手紙を読む（召喚）,0,[0|0|0],-1,-1,1.5,180,0,0,1,-0.25,0,[0|0|0],180,0,0,[0|0],50000000,-1,-1,10,3,0,0,0,0,4,-1,0,-1,-1,-0.25,0,0,0,-1
2001,Read the letter (summon a red sign) -- 手紙を読む（赤サイン召喚）,0,[0|0|0],-1,-1,1.5,180,0,0,1,-0.25,0,[0|0|0],180,0,0,[0|0],50000000,-1,-1,10,3,0,0,0,0,4,-1,0,-1,-1,-0.25,0,0,0,-1
2010,Check your letter (summon) -- 自分の手紙を確認する（召喚）,0,[0|0|0],-1,-1,1.5,180,0,0,1,-0.25,0,[0|0|0],180,0,0,[0|0],50000400,-1,-1,10,3,0,0,0,0,4,-1,0,-1,-1,-0.25,0,0,0,-1
3000,Read letter (blood letter) _ Used in NTCSTADIA version -- 手紙を読む（血文字）_NTCSTADIA版で使用,0,[0|0|0],-1,-1,2,180,0,0,4,-2,0,[0|0|0],180,0,0,[0|0],50000210,-1,-1,5,3,0,0,1,0,8,12,-2,-1,-1,-2,0.06,0.41,0.01,-1
3010,Check your letter (blood letters) _ Used in NTCSTADIA version -- 自分の手紙を確認する（血文字）_NTCSTADIA版で使用,0,[0|0|0],-1,-1,2,180,0,0,4,-2,0,[0|0|0],180,0,0,[0|0],50000500,-1,-1,5,3,0,0,1,0,8,12,-2,-1,-1,-2,0.06,0.41,0.01,-1
4000,Pick up an item -- アイテムを拾う,0,[0|0|0],-1,-1,1.5,180,0,0,2.5,-1,0,[0|0|0],180,0,0,[0|0],10010103,-1,-1,10,3,0,0,0,0,12,4,-2,-1,-1,-1,0,0,0,-1
4050,Pick up items (for water surface) -- アイテムを拾う(水面用),0,[0|0|0],-1,-1,1.5,180,0,0,2.5,-2,0,[0|0|0],180,0,0,[0|0],10010103,-1,-1,10,3,0,0,0,0,12,4,-3,-1,-1,-2,0,0,0,-1
4100,Scour the corpse -- 死体をあさる,0,[0|0|0],90,-1,1.5,180,0,0,2.5,-1,0,[0|0|0],180,0,0,[0|0],10010103,-1,-1,10,3,0,0,0,0,12,4,-2,-1,-1,-1,0,0,0,-1
4200,Purse _360 ° -- 巾着をあさる_360°,0,[0|0|0],90,-1,2,180,0,0,2.5,-1,0,[0|0|0],180,0,1,[0|0],10010103,-1,-1,10,3,1,0,0,0,12,4,-2,-1,-1,-1,0,0,0,-1
4201,Purse _180 ° -- 巾着をあさる_180°,0,[0|0|0],90,-1,2,90,0,0,2.5,-1,0,[0|0|0],180,0,1,[0|0],10010103,-1,-1,10,3,0,0,0,0,12,4,-2,-1,-1,-1,0,0,0,-1
4202,Purse _100 ° -- 巾着をあさる_100°,0,[0|0|0],90,-1,2,50,0,0,2.5,-1,0,[0|0|0],180,0,1,[0|0],10010103,-1,-1,10,3,0,0,0,0,12,4,-2,-1,-1,-1,0,0,0,-1
4210,Underwater purse _360 ° -- 水中巾着をあさる_360°,0,[0|0|0],90,-1,3,180,0,0,4,-1,0,[0|0|0],180,0,1,[0|0],10010103,-1,-1,10,3,1,0,0,0,18,6,-2,-1,-1,-1,0,0,0,-1
4211,Underwater purse _180 ° -- 水中巾着をあさる_180°,0,[0|0|0],90,-1,3,90,0,0,4,-1,0,[0|0|0],180,0,1,[0|0],10010103,-1,-1,10,3,0,0,0,0,18,6,-2,-1,-1,-1,0,0,0,-1
4215,Underwater purse _360 ° _for shallow water_used in sick village -- 水中巾着をあさる_360°_浅瀬用_病み村で使用,0,[0|0|0],90,-1,3,180,0,0,4,-1,0,[0|0|0],180,0,1,[0|0],10010103,-1,-1,10,3,1,0,0,0,18,4.5,-2,-1,-1,-1,0,0,0,-1
4220,Squeeze a purse in a high place _360 ° -- 高い所の巾着をあさる_360°,0,[0|0|0],90,-1,2,180,0,0,3.5,-2,0,[0|0|0],180,0,1,[0|0],10010103,-1,-1,10,3,1,0,0,0,12,4,-2,-1,-1,-2,0,0,0,-1
4300,Take the treasure -- 宝物をとる,0,[0|0|0],-1,-1,1.5,180,0,0,1.2,-0.6,0,[0|0|0],180,0,0,[0|0],10010107,-1,-1,10,3,1,0,0,0,4,-1,0,-1,-1,-0.6,0,0,0,-1
4400,OK -- OK,0,[0|0|0],-1,-1,1.5,180,0,0,1,-0.25,0,[0|0|0],180,0,0,[0|0],10010110,-1,-1,10,3,0,0,0,0,4,-1,0,-1,-1,-0.25,0,0,0,-1
5000,Climb the ladder -- はしごをのぼる,0,[0|0|0],195,-1,1.5,90,0,0,0.5,-0.25,0,[0|0|0],45,0,0,[0|0],10010300,-1,-1,10,3,0,0,0,0,4,-1,0,-1,-1,-0.25,0,0,0,-1
