ID,Name,sfxId_0,dmypolyId_0,reserve_0,sfxId_1,dmypolyId_1,reserve_1,sfxId_2,dmypolyId_2,reserve_2,sfxId_3,dmypolyId_3,reserve_3,sfxId_4,dmypolyId_4,reserve_4,sfxId_5,dmypolyId_5,reserve_5,sfxId_6,dmypolyId_6,reserve_6,sfxId_7,dmypolyId_7,reserve_7,
0,for test -- テスト用,0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0]
80000,Message tombstone (before lighting) -- メッセージ墓石（点灯前）,82,10,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0]
80010,Message tombstone (after lighting) -- メッセージ墓石（点灯後）,83,10,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0]
1510000,Lantern (old) -- ランタン(古),800050,200,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0]
1230000,Royal Castle Candlestick (Low) -- 王城燭台（低）,800030,201,[0|0|0|0|0|0|0|0],800030,211,[0|0|0|0|0|0|0|0],800030,212,[0|0|0|0|0|0|0|0],800030,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0]
1240000,Candle ver00 -- 蝋燭ver00,839010,200,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0]
1240001,Candle ver01 -- 蝋燭ver01,899999,200,[0|0|0|0|0|0|0|0],34,202,[0|0|0|0|0|0|0|0],34,210,[0|0|0|0|0|0|0|0],34,212,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0]
1240002,Candle ver02 -- 蝋燭ver02,899999,210,[0|0|0|0|0|0|0|0],34,211,[0|0|0|0|0|0|0|0],34,212,[0|0|0|0|0|0|0|0],34,213,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0]
1240010,Blue Flame Varie 1 -- 青炎バリエ1,899998,200,[0|0|0|0|0|0|0|0],48,201,[0|0|0|0|0|0|0|0],48,202,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0]
1240011,Blue Flame Varie 2 -- 青炎バリエ2,899998,200,[0|0|0|0|0|0|0|0],48,202,[0|0|0|0|0|0|0|0],48,210,[0|0|0|0|0|0|0|0],48,212,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0],0,0,[0|0|0|0|0|0|0|0]
