ID,Name,atkId_Bullet,sfxId_Bullet,sfxId_Hit,sfxId_Flick,life,dist,shootInterval,gravityInRange,gravityOutRange,hormingStopRange,initVellocity,accelInRange,accelOutRange,maxVellocity,minVellocity,accelTime,homingBeginDist,hitRadius,hitRadiusMax,spreadTime,expDelay,hormingOffsetRange,dmgHitRecordLifeTime,externalForce,spEffectIDForShooter,autoSearchNPCThinkID,HitBulletID,spEffectId0,spEffectId1,spEffectId2,spEffectId3,spEffectId4,numShoot,homingAngle,shootAngle,shootAngleInterval,shootAngleXInterval,damageDamp,spelDamageDamp,fireDamageDamp,thunderDamageDamp,staminaDamp,knockbackDamp,shootAngleXZ,lockShootLimitAng,isPenetrate,prevVelocityDirRate,atkAttribute,spAttribute,Material_AttackType,Material_AttackMaterial_forSfx,Material_Size,launchConditionType,FollowType,pad7,isAttackSFX,isEndlessHit,isPenetrateMap,isHitBothTeam,isUseSharedHitList,isUseMultiDmyPolyIfPlace,isSendShootInterrupt,isHowitzer,isHitForceMagic,isIgnoreSfxIfHitWater,isIgnoreMoveStateIfHitWater,isHitDarkForceMagic,dmgCalcSide,isEnableAutoHoming,isSyncBulletCulcDumypolyPos,isIntervalCreateTargetLockOn,isInheritSfxToChild,darkDamageDamp,bulletSfxDeleteType_byHit,bulletSfxDeleteType_byLifeDead,targetYOffsetRange,shootAngleYMaxRandom,shootAngleXMaxRandom,intervalCreateBulletId,intervalCreateTimeMin,intervalCreateTimeMax,predictionShootObserveTime,intervalCreateWaitTime,sfxPostureType,createLimitGroupId,guardRangeType,isInheritSpeedToChild,isDisableHitSfx_byChrAndObj,isCheckWall_byCenterRay,isHitOtherBulletForceEraseA,isUseBulletWallFilter,isUseParentAngForlockShootLimitAng,isNonDependenceMagicForFunnleNum,pad1,randomCreateRadius,generateObjId,lifeRandomRange,Material_AttackMaterial_forSe,staminaPhysicsAttribute,attachEffectType,objGenerateTiming,sfxId_ForceErase,bulletSfxDeleteType_byForceErase,pad3,homingAngleX,shootYOffsetRange,generationMaxDistWhenOwner,elevationMinAngle,elevationMaxAngle,initMinVellocity,initMaxVellocity,isHitOtherBulletForceEraseB,pad4,pad5,EmittePosType,disappearDistanceToTarget,pad6,
0,test -- テスト,0,10,-1,-1,100,100,0.3,10,1,0,1,1,-1,100,10,3,5,1,-1,1,0,0,0,0,-1,0,-1,0,0,0,0,0,5,10,-30,30,0,10,0,0,0,10,10,0,45,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,6,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,[0|0|0|0|0|0|0|0]
1,Magic test -- 魔法テスト,200000,10,-1,-1,100,100,0.3,10,1,0,1,1,-1,100,10,3,5,1,-1,1,0,0,0,0,-1,0,-1,0,0,0,0,0,5,10,-30,30,0,10,0,0,0,10,10,0,45,1,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,6,4,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,[0|0|0|0|0|0|0|0]
2,Funnel test -- ファンネルテスト,1001,21313,-1,-1,-1,30,0,0,0,0,15,0,0,1,1,0,0,0.3,-1,0,0,0,0,0,0,801000,101,0,0,0,0,0,1,90,0,0,0,0,0,0,0,0,0,0,45,0,0,4,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,6,4,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,[0|0|0|0|0|0|0|0]
3,Flying Dragon Breath Test -- 飛竜　ブレステスト,362,15139,-1,-1,1,0,0,0,0,0,25,0,0,50,0,0,0,0.5,3.5,0.5,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,-30,0,0,0,0,0,0,0,0,0,45,1,0,4,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,6,4,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,[0|0|0|0|0|0|0|0]
4,For destroying automatic patrol objects -- 自動巡回オブジェ破壊用,4,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,1,0,4,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,6,4,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,[0|0|0|0|0|0|0|0]
6,For automatic patrol object destruction_for debug function verification -- 自動巡回オブジェ破壊用_デバッグ機能検証用,6,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,1,0,4,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,6,4,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,[0|0|0|0|0|0|0|0]
50,Bonfire recovery effect -- かがり火回復効果,0,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2.5,-1,0,0,0,0,0,0,0,-1,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,6,4,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,[0|0|0|0|0|0|0|0]
60,Bullet Random Number Test_Parent -- 弾丸乱数テスト_親,0,999212,-1,-1,1,20,0,0,0,0,0,40,40,0,0,0.1,0,0.1,-1,0,0,0,0,0,0,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,180,0,0,4,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,5,4,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,[0|0|0|0|0|0|0|0]
61,Bullet random number test_child -- 弾丸乱数テスト_子,0,999212,-1,-1,3,20,0,0,0,0,2,40,40,2,2,0.1,0,0.1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,8,0,0,45,0,0,0,0,0,0,0,0,180,0,0,4,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,5,4,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,[0|0|0|0|0|0|0|0]
62,Long-range magic: Flame to pierce_Begin to appear -- 遠距離魔法：穿つ炎_出始め,1052,30006,30006,-1,0.3,999,0,0,0,0.5,3,0,5,3,3,3,0,0.3,-1,0,0,0,2,0,0,0,63,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,45,1,0,4,1,0,1,0,254,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,4,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,[0|0|0|0|0|0|0|0]
