攻击专精角色分析
排名,角色ID,地图区域,攻击专精度%,总AI使用,攻击AI使用,主要攻击函数,使用次数
1,520000,m25_00_00_00-luabnd-dcx,98.8,82,81,GOAL_COMMON_ComboFinal,28
2,540310,m11_02_00_00-luabnd-dcx,92.4,184,170,GOAL_COMMON_ComboFinal,53
3,540010,m11_02_00_00-luabnd-dcx,89.3,131,117,GOAL_COMMON_ComboAttackTunableSpin,36
4,501020,m17_00_00_00-luabnd-dcx,89.1,64,57,GOAL_COMMON_AttackTunableSpin,37
5,711300,m11_01_00_00-luabnd-dcx,89.0,191,170,GOAL_COMMON_ComboFinal,83

移动专精角色分析
排名,角色ID,地图区域,移动专精度%,总AI使用,移动AI使用,主要移动函数
1,151040,m10_00_00_00-luabnd-dcx,60.8,51,31,GOAL_COMMON_LeaveTarget
2,151030,m10_00_00_00-luabnd-dcx,59.6,52,31,GOAL_COMMON_LeaveTarget
3,151020,m10_00_00_00-luabnd-dcx,59.3,59,35,GOAL_COMMON_ApproachSettingDirection
4,505000,m25_00_00_00-luabnd-dcx,51.7,58,30,GOAL_COMMON_ApproachTarget
5,101200,m10_00_00_00-luabnd-dcx,42.6,68,29,GOAL_COMMON_SidewayMove

防御专精角色分析
排名,角色ID,地图区域,防御专精度%,总AI使用,防御AI使用,防御特征
1,105000,m10_00_00_00-luabnd-dcx,43.1,51,22,耐性攻击
2,501020,m17_00_00_00-luabnd-dcx,42.2,64,27,耐性攻击，等待策略
3,140020,m11_01_00_00-luabnd-dcx,32.8,125,41,耐性攻击
4,115000,m10_00_00_00-luabnd-dcx,22.4,58,13,耐性攻击，等待策略
5,137000,m11_01_00_00-luabnd-dcx,19.5,82,16,耐性攻击

平衡型战斗角色分析
排名,角色ID,地图区域,平衡度%,攻击AI,移动AI,防御AI,功能多样性
1,115000,m10_00_00_00-luabnd-dcx,50.0,29,18,13,10
2,101000,m11_00_00_00-luabnd-dcx,49.2,30,16,4,12
3,505000,m25_00_00_00-luabnd-dcx,48.3,20,30,3,11
4,101200,m10_00_00_00-luabnd-dcx,47.1,36,29,6,10
5,106000,m11_00_00_00-luabnd-dcx,44.9,38,28,3,10

AI功能多样性排行
排名,角色ID,功能种类数,总使用次数,平均每功能使用,特殊模式,代表性功能
1,510000,17,137,8.1,连击链，可调攻击，接近模式,GOAL_COMMON_ComboTunable_SuccessAngle180
2,510001,16,154,9.6,连击链，可调攻击，接近模式,GOAL_COMMON_ComboTunable_SuccessAngle180
3,508000,13,200,15.4,连击链，可调攻击，接近模式,GOAL_COMMON_AttackTunableSpin
4,500000,13,143,11.0,连击链，可调攻击，接近模式,GOAL_COMMON_ComboFinal
5,543000,13,138,10.6,连击链，可调攻击，接近模式,GOAL_COMMON_ComboRepeat
6,700000,13,113,8.7,连击链，可调攻击，接近模式,GOAL_COMMON_ComboRepeat
7,702000,13,97,7.5,连击链，可调攻击，接近模式,GOAL_COMMON_ComboRepeat
8,145000,13,95,7.3,连击链，可调攻击，接近模式,GOAL_COMMON_ComboFinal
9,151020,13,59,4.5,连击链，可调攻击，接近模式,GOAL_COMMON_ApproachSettingDirection
10,147000,12,144,12.0,连击链，可调攻击，接近模式,GOAL_COMMON_ComboRepeat
